Date,Brand,Collaboration,Style,Colorway,B Absent,Weekend,Holiday
2018-01-27,,,,,,x,
2018-01-28,,,,,,x,
2018-01-29,Danner,,Vertigo 912,,,,
2018-01-30,Nike ,,Lebron 15,Ghost ,,,
2018-01-31,,,,,x,,
2018-02-01,LL Bean ,,Boots,,,,
2018-02-02,Nike,,Kobe 9,Uuniversary Low,,,
2028-02-03,,,,,,x,
2018-02-04,,,,,,x,
2018-02-05,LL Bean ,,Boots,,,,
2018-02-06,Jordan,,10,Cool Grey,,,
2018-02-07,,,dress shoes,,,,
2018-02-08,LL Bean ,,Boots,,,,
2018-02-09,LL Bean ,,Boots,,,,
2018-02-10,,,,,,x,
2018-02-11,,,,,,x,
2018-02-12,Vans,Supreme,Sk8 hi,Checkered Blue,,,
2018-02-13,Adidas,,Giselle,,,,
2018-02-14,Nike,,Air Max 1 Aniversary,Aniversary Red,,,
2018-02-15,Nike,Supreme,Uptempo,Black,,,
2018-02-16,LL Bean ,,Boots,,,,
2018-02-17,,,,,,x,
2018-02-18,,,,,,x,
2018-02-19,,,,,,x,
2018-02-20,,,,,,x,
2018-02-21,,,,,,x,
2018-02-22,,,,,,x,
2018-02-23,,,,,,x,
2018-02-24,,,,,,x,
2018-02-25,,,,,,x,
2018-02-26,Nike,,Kyrie 4,BHM,,,
2018-02-27,Nike ,,Air Max 97,Multicolor,,,
2018-02-28,Nike,,VaporMax,Blue Navy,,,
2018-03-01,Nike,,Bruin low XLT,,,,
2018-03-02,Nike,,Cortez,,,,
2018-03-03,,,,,,x,
2018-03-04,,,,,,x,
2018-03-05,Jordan,,11,Space Jam,,,
2018-03-06,Jordan,,11,Win like 82',,,
2018-03-07,Jordan,,4,White Cement,,,
2018-03-08,LL Bean ,,Boots,,,,
2018-03-09,Jordan,,11,Space Jam,,,
2018-03-10,,,,,,x,
2018-03-11,,,,,,x,
2018-03-12,Adidas,,Stan Smith,,,,
2018-03-13,,,,,,x,
2018-03-14,,,,,,x,
2018-03-15,Adidas,,NMD R1 PrimeKnit,Gum Bottom,,,
2018-03-16,Nike,Kith,Air Pippen 1,Chimera,,,
2018-03-17,,,,,,,
2018-03-18,,,,,,,
2018-03-19,Nike,,Dunk High,Be True Syracuse,,,
2018-03-20,Nike,Off white,Air Force 1,Off White,,,
2018-03-21,Jordan,,12,French Blue,,,
2018-03-22,LL Bean ,,Boots,,,,
2018-03-24,,,,,,x,
2018-03-25,,,,,,x,
2018-03-26,Nike,,Kyrie 3,Samuri,,,
2018-03-27,Converse ,,Chuck Taylor All Star slip low top,,,,
2018-03-28,Vans,Supreme,Sk8 hi,Checkered Blue,,,
2018-03-29,Nike,,LeBron 14,Out of Nowhere,,,
2018-03-30,,,,,,,x
2018-03-31,,,,,,x,
2018-04-01,,,,,,x,
2018-04-02,Jordan,,7,Hare,,,
2018-04-03,Nike,Supreme,Blazer Low,Cannon,,,
2018-04-04,Nike ,,Air Max 1,Obsidian,,,
2018-04-05,Nike ,,VaporMax,Pure Platinum,,,
2018-04-06,Nike,,Air Max 95,Neon,,,
2018-04-07,,,,,,x,
2018-04-08,,,,,,x,
2018-04-09,Nike ,,Air Max LD Zero,,,,
2018-04-10,Nike,,SB Blazer low xt,,,,
2018-04-11,Jordan,,1,Black Toe,,,
2018-04-12,Adidas,,Campuss,,,,
2018-04-13,,,Air Max 97,Triple White,,,
2018-04-14,,,,,,x,
2018-04-15,,,,,,x,
2018-04-16,,,,,,,x
2018-04-17,,,,,,,x
2018-04-18,,,,,,,x
2018-04-19,,,,,,,x
2018-04-20,,,,,,,x
2018-04-21,,,,,,x,
2018-04-22,,,,,,x,
2018-04-23,Vans,,Authentic,,,,
2018-04-24,Nike,,Lebron 15,Ghost,,,
